"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MOGS","MOGS",-0.6184020630349,7.30266317907115,-7.81844619404973,3.25095800447105e-12,6.90441557140043e-11,17.2684165367056
"APBB1","APBB1",0.572554594144032,4.24127607432069,7.81698242700857,3.27545758524731e-12,6.94940707509657e-11,17.26103072888
"MXRA5","MXRA5",-1.89821619880416,10.1803930229222,-7.81322327709917,3.33921941585074e-12,7.0775245091065e-11,17.2420647924161
"NVL","NVL",-0.759832768389708,6.35428441910715,-7.8068917418543,3.44941277254106e-12,7.30322108288903e-11,17.2101263644512
"SOCS3","SOCS3",2.01877431794684,9.54706794714652,7.80670751779904,3.45267249935265e-12,7.30322108288903e-11,17.2091971862766
"ELMO3","ELMO3",-1.4492229588352,7.13252784448122,-7.80301398964157,3.518676677387e-12,7.43533271284136e-11,17.1905693176975
"TACC1","TACC1",1.80200813220352,8.35086809666335,7.8000278840545,3.57295418937623e-12,7.54242353652613e-11,17.1755110990632
"MMP7","MMP7",-2.16274749102181,8.46628787922664,-7.79348706263943,3.69476812827929e-12,7.79172329024048e-11,17.1425330840676
"LINC00702","LINC00702",1.59307738557994,4.07344628318584,7.79239530601918,3.71549860664146e-12,7.82292329707511e-11,17.1370293572242
"MYL9","MYL9",1.47778922344649,11.1813189261188,7.79231506373774,3.71702681227307e-12,7.82292329707511e-11,17.1366248512897
"ZNF331","ZNF331",1.65726751412129,8.67419590435436,7.79167005299642,3.72933367579004e-12,7.84095210751362e-11,17.1333733588169
"ROR1","ROR1",1.13645779192737,7.93645925900963,7.78363375193551,3.88610341951779e-12,8.16237473746812e-11,17.0928689602372
"SPR","SPR",-0.873866530692344,8.54394387881218,-7.78102574532082,3.93837326549139e-12,8.2638819210441e-11,17.0797267352454
"FOXO6","FOXO6",-1.34453930846395,5.90992444247788,-7.77496717924589,4.06251054760218e-12,8.5158346098837e-11,17.0492014305612
"C1GALT1","C1GALT1",-1.13617871832855,9.21379048258333,-7.77408955488674,4.08081206945031e-12,8.54565260737436e-11,17.0447802050652
"C5AR1","C5AR1",1.70531499744899,9.73109044222539,7.76928257823306,4.18251660455321e-12,8.74989152341759e-11,17.0205665759464
"LOC101929398","LOC101929398",1.53524415002373,3.04109135844792,7.76752629342981,4.22030018255718e-12,8.82013284414392e-11,17.0117209312447
"EIF1B","EIF1B",0.598421669463978,11.6540762914323,7.76649146747685,4.24272128830629e-12,8.85815972564507e-11,17.006509234325
"PLSCR4","PLSCR4",1.12253193267185,10.0327913668019,7.76587347221534,4.25616749687509e-12,8.87739135019856e-11,17.0033969194413
"PARK7","PARK7",-0.452407799284525,13.2761656640091,-7.76540320303634,4.26642786493535e-12,8.88994641200544e-11,17.0010286231319
"SUN2","SUN2",0.620704487893801,9.52902793760026,7.76291193223671,4.32119380199364e-12,8.99512060351446e-11,16.9884831707708
"KRT4","KRT4",2.54401825399576,7.12633223251604,7.75607940622081,4.47500380323765e-12,9.30605453605829e-11,16.9540822102452
"COL8A2","COL8A2",-1.88955216754506,6.87165188773121,-7.75569875045729,4.48373105051881e-12,9.31496236679637e-11,16.9521659137871
"NEBL","NEBL",1.81543643634867,10.423932988124,7.75331943889711,4.53866557844802e-12,9.4197532530126e-11,16.9401886119795
"HMGA1","HMGA1",-1.22679326551081,8.94773316165002,-7.75011546588377,4.61369779944489e-12,9.56600724747417e-11,16.9240617175508
"GRHL2","GRHL2",-1.22325731945703,7.16499704805398,-7.74672782979243,4.69437133935902e-12,9.7236573137988e-11,16.9070124979669
"BLNK","BLNK",-1.59004072578906,7.61973205047443,-7.74427440609494,4.75367071420293e-12,9.83676658550068e-11,16.8946663278858
"COG2","COG2",-0.673814183303888,8.26085748404359,-7.74040021003426,4.84882868096131e-12,1.00237817367171e-10,16.8751728581201
"DENND5A","DENND5A",0.833278494227629,10.4445642251917,7.73768408082602,4.91666796130507e-12,1.01540092418598e-10,16.8615080486614
"CCDC68","CCDC68",1.98872158282328,6.96383813105328,7.73220954136156,5.05628034168788e-12,1.0432061862447e-10,16.8339700108574
"RMI1","RMI1",-1.05779642553116,7.33992036037878,-7.73152504531888,5.0740110731291e-12,1.04583500604653e-10,16.8305272622354
"HSD17B10","HSD17B10",-0.582883629859023,10.0561022601073,-7.72685103566596,5.19674500646419e-12,1.07008024386544e-10,16.807021220915
"TBX21","TBX21",1.3012831914001,4.3000184319982,7.72664495702169,5.20222372806148e-12,1.07015715198847e-10,16.8059849284798
"AMOTL2","AMOTL2",1.16602535990295,9.636621932506,7.7259505463019,5.22072730885695e-12,1.07291064557117e-10,16.8024930568791
"NSRP1","NSRP1",0.490874069747279,9.17355722780311,7.72270183785571,5.30816574975004e-12,1.08981165961078e-10,16.7861580332963
"SGCE","SGCE",1.42384263971626,10.2770681503651,7.72173977238936,5.33433758750618e-12,1.09411335136306e-10,16.7813210056014
"H2BC5","H2BC5",-1.98184811390267,8.6410015620616,-7.71748982340729,5.45149424158085e-12,1.11705007128072e-10,16.7599554505861
"RGS9","RGS9",0.899309198441969,3.58096002598307,7.71540202486995,5.50998017499328e-12,1.12793168386923e-10,16.7494608454259
"NSUN5","NSUN5",-0.967715780338249,8.22970322175253,-7.71435965407533,5.53941310787685e-12,1.13285051285185e-10,16.7442215418287
"SEL1L3","SEL1L3",-1.26020894433054,9.235582523723,-7.71192250030711,5.60884056569261e-12,1.14593095456188e-10,16.7319724151581
"CARD8","CARD8",1.00533295723757,8.83667431851553,7.70626843902076,5.77325395507392e-12,1.17818847628498e-10,16.703559562053
"DUOXA1","DUOXA1",1.45079316888769,5.41585105909777,7.70610867808162,5.77796848402327e-12,1.17818847628498e-10,16.7027568198303
"EBF1","EBF1",1.78525482178651,8.29595837885663,7.70566931880502,5.79095365469201e-12,1.17866521614544e-10,16.7005492204441
"TLNRD1","TLNRD1",1.39028617516798,5.42309977306308,7.70564909026571,5.79155220222213e-12,1.17866521614544e-10,16.700447581271
"ODR4","ODR4",-0.707505432926566,8.8313512458907,-7.70526931338182,5.80280093010684e-12,1.1798090504064e-10,16.6985393906291
"RARA-AS1","RARA-AS1",0.926202586754752,6.69445083478082,7.70430477667631,5.83146745534836e-12,1.18448857363384e-10,16.6936931978626
"CLDN12","CLDN12",-1.04022618832161,9.01770658380839,-7.7016141271602,5.91218038379762e-12,1.19858962743318e-10,16.6801753272858
"CPSF6","CPSF6",-0.534957568872752,9.92742627551539,-7.7016093219396,5.91232551648652e-12,1.19858962743318e-10,16.680151187035
"PRC1","PRC1",-2.08021563531804,6.22531112373433,-7.70026513924492,5.95306326434473e-12,1.20568224296806e-10,16.6733985193984
"F3","F3",1.264044512999,10.1415249173636,7.6996027263299,5.9732412196404e-12,1.20860118191218e-10,16.6700709360386
"SLC22A4","SLC22A4",1.89847112611952,5.50588248503558,7.69525094725495,6.10750118583342e-12,1.23457511916529e-10,16.6482122194224
"S100A11","S100A11",-0.516308525288418,13.574493705577,-7.69109920564447,6.23838140173693e-12,1.25981648307524e-10,16.6273617311919
"EMB","EMB",-1.20366177140265,10.1863754278243,-7.68982524165674,6.27909767639458e-12,1.26681853217116e-10,16.6209644255134
"TRGC2","TRGC2",1.7131112749202,6.81844954465356,7.68459639312609,6.44899572941708e-12,1.29984469692347e-10,16.594710706937
"C1QTNF2","C1QTNF2",1.27505734079037,4.63535331260456,7.68277523210773,6.50923512429656e-12,1.31072609678679e-10,16.5855680338738
"ARSL","ARSL",-2.71249240078692,6.44524516562821,-7.68037346968152,6.58953441541336e-12,1.32562207692797e-10,16.5735115980295
"LMAN2","LMAN2",-0.605211833054953,10.4841577731992,-7.68012822177212,6.59778904856169e-12,1.32601010580968e-10,16.5722805594757
"FANCI","FANCI",-1.62038041148838,5.96820967260403,-7.67977796398021,6.60959594406032e-12,1.32711063390223e-10,16.5705224372283
"SYNPO","SYNPO",1.19914425606072,10.137169113619,7.67750208777188,6.6868264976367e-12,1.3413326032867e-10,16.5590992445486
"ZEB1","ZEB1",1.73035220889255,10.6432862120281,7.67442757481315,6.7925829466597e-12,1.36124401269484e-10,16.5436691169849
"MTFP1","MTFP1",-1.10888997080096,7.90959127981009,-7.67233932731949,6.8653594390228e-12,1.37451446571916e-10,16.5331898471448
"KPNA3","KPNA3",0.533587911696301,10.1050815533597,7.67076298668728,6.92080801730967e-12,1.38429367995081e-10,16.5252800060069
"OGN","OGN",2.95610389964824,6.28217405780865,7.66985168514891,6.95306610436402e-12,1.38942013040685e-10,16.5207074557599
"CALCOCO1","CALCOCO1",0.970871278634949,8.9007051980517,7.6635346420151,7.18081708281832e-12,1.43356464466703e-10,16.4890155601308
"GAS6","GAS6",1.36702425913232,9.68885449210448,7.66311844569426,7.19607982386384e-12,1.43524476943705e-10,16.4869278280217
"AKT3","AKT3",1.223497328542,8.24811169090957,7.66123595682478,7.26551770571347e-12,1.44771656033427e-10,16.4774852805866
"USP12","USP12",0.723707033336935,8.46511709793519,7.65962369747529,7.32551642369503e-12,1.45828234168046e-10,16.4693987622454
"RHOD","RHOD",-1.14159361107562,4.96743513013199,-7.65943804614889,7.33245677001817e-12,1.45828234168046e-10,16.4684676345596
"PTTG1","PTTG1",-1.81226380605095,8.84739872013972,-7.65704182753444,7.42262454673336e-12,1.47481569429976e-10,16.4564501004533
"C1QTNF7","C1QTNF7",1.20696117754329,4.71538756181187,7.65494198342091,7.50254449705002e-12,1.48928350139359e-10,16.4459198866466
"ANXA1","ANXA1",0.943897040899284,13.6538684652957,7.65410947421776,7.53446572837959e-12,1.4942050198514e-10,16.4417452964054
"AOX1","AOX1",1.648506663205,5.8010467297332,7.65268455879157,7.58941503624391e-12,1.50367975415638e-10,16.4346004254602
"PID1","PID1",1.43171596987305,8.45803087137115,7.65151825404046,7.63468745073592e-12,1.51122113637702e-10,16.4287525927898
"ARHGAP44","ARHGAP44",1.44932531766818,8.45373208858535,7.64733268857714,7.79937719072655e-12,1.54236362898123e-10,16.4077684759542
"SORD","SORD",-1.34537334314267,4.82597266873886,-7.64453176541936,7.91155023179296e-12,1.56307178095046e-10,16.3937281504505
"AQP1","AQP1",2.47701872194864,10.4923937250815,7.64244048301945,7.99634618053974e-12,1.57833718113441e-10,16.3832461015666
"TIGD2","TIGD2",-1.09247121222571,7.517889,-7.64010326027933,8.09218239597609e-12,1.59575096316511e-10,16.3715323746236
"RILPL1","RILPL1",0.908274935533256,7.13697043266176,7.63644557245268,8.24445687715365e-12,1.62425098739563e-10,16.3532029247122
"PPIL1","PPIL1",-0.918808703721428,9.31228458534862,-7.63603767288582,8.26161360788547e-12,1.6261027647746e-10,16.3511590202152
"VAMP3","VAMP3",0.381160326766064,12.0788384653911,7.62802756545354,8.60580240082716e-12,1.6922591925529e-10,16.3110287425059
"ORC5","ORC5",-0.934888067950482,8.00340665030064,-7.62150865022038,8.89639263665635e-12,1.74649472701652e-10,16.2783788380802
"DBNDD1","DBNDD1",-1.10056452182507,3.62816531653228,-7.62146711918926,8.89827482326896e-12,1.74649472701652e-10,16.2781708580236
"PIAS3","PIAS3",-1.08937619780178,7.61396937914777,-7.6169668360126,9.10458741201221e-12,1.78531675706829e-10,16.2556363091852
"TSPAN12","TSPAN12",1.69674693826428,10.399118693297,7.61203203289177,9.33628164904531e-12,1.82903865352605e-10,16.2309306912661
"SCHIP1","SCHIP1",1.53743253687349,9.66442397394864,7.60592601678888,9.63108137260209e-12,1.88503013755822e-10,16.2003683733133
"KIF14","KIF14",-1.8646040532966,3.41304547015049,-7.60116426540865,9.86737624393899e-12,1.92947705993889e-10,16.1765397594052
"NARF","NARF",-0.720591010629382,9.54479445047461,-7.60016303665272,9.91778820140034e-12,1.93752727192688e-10,16.1715300305862
"GPR4","GPR4",1.6575078644603,6.77645622848938,7.59831646528592,1.00114346910193e-11,1.95400087516896e-10,16.1622911003785
"SLC41A2","SLC41A2",-1.83380246883099,4.08236924260351,-7.59649653809216,1.01045886409074e-11,1.97034778689024e-10,16.1531861625238
"KRTCAP3","KRTCAP3",-1.32891638808777,8.01377515929203,-7.59559869713799,1.01508615210437e-11,1.97753121936913e-10,16.1486945923826
"MED14","MED14",-0.804895340355887,9.12959805679766,-7.59049856157022,1.04177308789517e-11,2.02763671944834e-10,16.1231836194078
"FHL2","FHL2",-1.61057021403368,8.87874245527554,-7.58795810882665,1.05532491465976e-11,2.05210768655824e-10,16.1104782234246
"IL15RA","IL15RA",1.00811192135474,8.13334818254184,7.58776887046766,1.05634136464879e-11,2.05218050841222e-10,16.1095318514887
"DHX32","DHX32",-0.688504786198925,9.26083015147362,-7.58732911613323,1.05870715740721e-11,2.054872169775e-10,16.1073326896941
"AP1G2","AP1G2",-0.831020165243005,8.75355692798502,-7.5856139575644,1.06798473885177e-11,2.07096171099083e-10,16.0987557561162
"PPARG","PPARG",1.68541009376075,8.15940920401239,7.58505587388347,1.07102087268488e-11,2.07492971656381e-10,16.0959650973181
