"","(Intercept)","Tissuetissue: paired normal adjacent"
"NXNL2",1.90067086782545e-178,0.769638467908707
"BRS3",1.122400529186e-288,0.999999999999475
"TMX3",3.59904706616703e-79,0.963985196735931
"ZNF396",2.25676089410529e-60,0.15251765821796
"SLC26A7",3.29286677463126e-285,0.707333757356784
"SNX18",5.16467635623856e-199,0.419994044803104
"FBXO39",5.81885258575434e-115,0.40597154056632
"B3GNT6",3.9652104061324e-60,0.0340261177139162
"DENND1B",4.23801473252729e-226,0.326342498018931
"ZNF619",5.53678221547625e-151,0.772900937772704
"ICK",2.07311749068037e-287,0.81636459929515
"FAM71D",9.32695420449143e-207,0.484854802914388
"BCL2L14",1.45207398590031e-288,0.947304387588222
"HS6ST3",1.04739021127061e-254,0.332807902807934
"SLC26A1",7.11434433119378e-112,0.769194568876382
"CLDN15",1.65828640058627e-183,0.635293347202768
"RAB42",1.3515899842986e-61,1.10088181910536e-06
"PTCHD1",2.66699901638387e-44,0.0236404576505362
"M1AP",7.06574372229269e-139,0.499174402603501
"ZSCAN4",7.34310429890158e-82,0.0549156014941194
"VWA5B1",3.99594452156685e-58,0.67544419842578
"LINC00311",1.15437167124294e-288,0.981307192108777
"HTR6",3.78494936544852e-226,0.905441231775881
"MAGEB6",8.49745910974668e-136,0.341310766590548
"ELOA3",2.00806897759334e-99,0.523583511606248
"RUSC1-AS1",1.07879025411397e-54,0.456012218701826
"CACNG6",1.92836941015925e-96,0.317959630742518
"LMNTD1",1.17168040634065e-187,0.211921092772499
"CIRBP-AS1",1.14668838044103e-93,0.822898019397541
"AXDND1",2.44071683869406e-55,0.0606215423232074
"ASMTL-AS1",2.18271097756961e-59,0.992423119861064
"CD200R1",2.85534571059889e-64,0.810246485055848
"LINC00334",7.04146821650752e-288,0.973654170307069
"ATOH7",1.46023384406114e-278,0.548462851711501
"SEC16B",9.40066709879184e-85,0.401908467026652
"AMER1",2.73199307456853e-88,0.0396338691647995
"NKX6-3",2.21883785534361e-105,0.472318478422632
"TBATA",7.55308448567799e-122,0.124455136696167
"EXOC3L2",5.05228620230209e-113,0.0434140732722689
"CABP4",1.06830072401329e-76,0.01426623800178
"TNFRSF13C",7.52855775752751e-126,0.328539242219737
"CAMK2N2",1.122400529186e-288,0.999999999999475
"ANKRD30BP2",1.08098185204919e-160,0.454116111547072
"KCNG3",1.07297784603502e-57,0.371894400490973
"LINC01312",4.50025980131362e-76,0.800561351628594
"FOXP2",5.75252316876862e-80,0.907626569149578
"B4GALNT2",1.20675889691738e-124,0.309435259403305
"FMR1NB",2.67742365664367e-100,0.272743798178946
"GCSAML",3.14101417615459e-77,0.0102754147084323
"SIGLEC11",4.6360042367742e-55,4.17968852211887e-05
"IL23R",6.04118439471123e-194,0.142080179452958
"MAGEB18",1.122400529186e-288,0.999999999999475
"CD276",6.56448422350252e-50,0.0616770853310705
"IFNL2",2.34970521644434e-163,0.536740045293232
"IFNL1",2.2658706349181e-126,0.567137494421349
"C4orf36",1.15062941831043e-75,0.82962549287155
"FIGNL1",1.00913499643971e-50,3.36406999458429e-05
"RIMS1",1.3763560529887e-287,0.829205627617014
"PITPNM2",1.24449747094931e-87,0.033147725252036
"PCDH10",3.07268363299917e-288,0.896361977480722
"TAB3",7.98262857132062e-45,0.475934650961267
"GRK7",1.122400529186e-288,0.999999999999475
"MMEL1",7.6201045788133e-64,0.00177596002535282
"PDE8A",3.22380306753232e-48,0.275197348816353
"NLRP6",1.122400529186e-288,0.999999999999475
