"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","diffexpressed","delabel"
"SYK","SYK",-0.796655332117012,7.03242588526439,-5.60626450388079,8.15749227129473e-07,3.77207484783246e-06,5.19124709393423,"DOWN","SYK"
"EXT2","EXT2",-0.556194827865594,8.4017839669663,-5.60566834146514,8.1749498826004e-07,3.77931306976011e-06,5.18914659529396,"NO",NA
"FOXO6","FOXO6",-0.408300187635209,6.20965077210812,-5.60454393012195,8.20797715908429e-07,3.79374442964119e-06,5.1851850262969,"NO",NA
"LOC440792","LOC440792",0.318549253464374,4.87200452995455,5.60426156220826,8.21629187970735e-07,3.79674974639819e-06,5.18419020649749,"NO",NA
"DNASE1","DNASE1",0.628364059627765,4.98727428315749,5.60309181326434,8.25082574909631e-07,3.81186693794266e-06,5.180069151796,"UP","DNASE1"
"MUS81","MUS81",-0.314371981567959,7.82764654651849,-5.60242454197998,8.27058960117748e-07,3.82015524533329e-06,5.17771842994712,"NO",NA
"FKBP6","FKBP6",0.365055829045976,6.04080809662064,5.60228817441153,8.2746344280901e-07,3.82071647891099e-06,5.17723803049504,"NO",NA
"SIN3A","SIN3A",-0.384651509667095,7.26027496099427,-5.60226059687051,8.27545264945776e-07,3.82071647891099e-06,5.17714087990655,"NO",NA
"GCH1","GCH1",1.02233298362448,8.43444384509324,5.60181666023379,8.28863521514311e-07,3.82595949430592e-06,5.17557698869428,"UP","GCH1"
"DNAI1","DNAI1",0.570209331006803,5.12637262426721,5.60106355638184,8.31104599952925e-07,3.83545892381889e-06,5.17292403672602,"NO",NA
"SS18L1","SS18L1",0.75793768309174,7.68083851997848,5.60078192515539,8.31944216221892e-07,3.83848799497797e-06,5.17193195880845,"UP","SS18L1"
"SERPINA6","SERPINA6",1.46109932809523,7.79498403999505,5.60041869046474,8.3302835446399e-07,3.84264367781484e-06,5.17065244096591,"UP","SERPINA6"
"RPL26L1","RPL26L1",-0.446980833068116,9.28362093475987,-5.59985388567212,8.34716894703019e-07,3.84958493908942e-06,5.16866291855285,"NO",NA
"ZNF41","ZNF41",-0.565214094899202,4.12008789655499,-5.59977972563942,8.34938855159987e-07,3.84976099472513e-06,5.1684016937098,"NO",NA
"LINC01943","LINC01943",-0.701421452626459,4.29262133173821,-5.59953332516977,8.35676749932351e-07,3.85231533469035e-06,5.16753376683625,"DOWN","LINC01943"
"SFTA2","SFTA2",0.568252020170512,3.83039527979775,5.59875780669918,8.3800341133747e-07,3.86219085968889e-06,5.16480212150639,"NO",NA
"ALDH1L1-AS2","ALDH1L1-AS2",0.532969976689937,5.90102569958926,5.59863987121169,8.38357795540205e-07,3.86297420659496e-06,5.16438671966618,"NO",NA
"BAIAP3","BAIAP3",0.381960348661038,6.22994313326321,5.59850883676874,8.38751714870512e-07,3.86393933833134e-06,5.1639251820792,"NO",NA
"GJC1","GJC1",-0.682373689454397,5.1010253821396,-5.59841357104309,8.39038220395014e-07,3.86440932335408e-06,5.16358963288798,"DOWN","GJC1"
"NFXL1","NFXL1",-0.655523109699554,6.52179923805338,-5.59769312593231,8.41208053388108e-07,3.87355135069701e-06,5.16105209302979,"DOWN","NFXL1"
"LOC100288175","LOC100288175",0.408223144753897,5.32462498533752,5.59759981939548,8.41489479777012e-07,3.87399563360199e-06,5.16072345598367,"NO",NA
"SCAMP1","SCAMP1",-0.991492024581386,7.80363811192234,-5.59674266565006,8.44079150146215e-07,3.88506393278681e-06,5.15770451668983,"DOWN","SCAMP1"
"PLRG1","PLRG1",-0.496346835975685,9.01310887664902,-5.59666528083765,8.44313336663705e-07,3.88528810700673e-06,5.1574319688547,"NO",NA
"C5orf51","C5orf51",-0.496895904963884,8.12076479560612,-5.5942489891866,8.51658127809044e-07,3.91822596161126e-06,5.14892228842517,"NO",NA
"CDC45","CDC45",-0.773135137301961,5.20645535984653,-5.59407033783111,8.52203679240264e-07,3.91987493830606e-06,5.14829315008717,"DOWN","CDC45"
"PPM1E","PPM1E",0.383952312260487,3.47311579103413,5.59288615816228,8.55828595131145e-07,3.93551382317852e-06,5.14412306627194,"NO",NA
"EID2B","EID2B",-0.61442906479381,4.6919802122077,-5.59283699368234,8.55979423230121e-07,3.93551382317852e-06,5.14394993832503,"DOWN","EID2B"
"TPRKB","TPRKB",-0.611436860929207,8.64522765068726,-5.59093289019743,8.61841181437996e-07,3.96159473942982e-06,5.1372451029319,"DOWN","TPRKB"
"CLP1","CLP1",-0.412807679592131,7.82187636807846,-5.59066174591772,8.62679123074442e-07,3.96457647894698e-06,5.1362903790533,"NO",NA
"MPST","MPST",0.382499718446866,8.63206559766447,5.59041015370469,8.63457362900805e-07,3.96728260159754e-06,5.13540450972043,"NO",NA
"TXNDC5","TXNDC5",-0.551594942332886,10.8094695785903,-5.58852001133834,8.69326339861225e-07,3.9933725528669e-06,5.12874952537527,"NO",NA
"ASIC1","ASIC1",0.37057685034242,5.08319545463589,5.58833408203549,8.69905788685805e-07,3.99515820118429e-06,5.12809491782553,"NO",NA
"CLN6","CLN6",0.291155117972138,3.53488815551187,5.58740294734631,8.72813430446459e-07,4.00763325900087e-06,5.12481671928036,"NO",NA
"LY6E","LY6E",-1.24423862600113,8.90971758669884,-5.58707227864901,8.73848319500947e-07,4.0115057524844e-06,5.12365258238552,"DOWN","LY6E"
"POLD1","POLD1",-0.591141821868988,6.34730384017538,-5.586063997728,8.77011430114576e-07,4.02514426525198e-06,5.12010297750906,"NO",NA
"LOC100505942","LOC100505942",0.525136869339712,6.0323048890332,5.58343338558028,8.85317494406727e-07,4.0623758062076e-06,5.11084275853989,"NO",NA
"SYNE1","SYNE1",0.751162813855094,8.69048658056844,5.58326287495809,8.85858556220001e-07,4.06396828233473e-06,5.11024256730281,"UP","SYNE1"
"C9orf135-DT","C9orf135-DT",0.341169989321033,4.26025479025303,5.58065221790287,8.94183663053536e-07,4.10126235821818e-06,5.10105370045734,"NO",NA
"APOL6","APOL6",-0.738509941112441,7.17722294869444,-5.57829852700529,9.01755723339232e-07,4.13508693887629e-06,5.09277018015994,"DOWN","APOL6"
"MOGAT2","MOGAT2",0.301701368153131,5.69357849047379,5.57794244883675,9.02906779228055e-07,4.13945902921648e-06,5.09151708119015,"NO",NA
"PART1","PART1",0.5222533325498,5.1430420166502,5.57732461275096,9.04907445627956e-07,4.14772347124044e-06,5.08934285798553,"NO",NA
"ANK3","ANK3",1.98100514601928,10.2463212454199,5.57618102192769,9.08622192369611e-07,4.16383921758176e-06,5.08531860825463,"UP","ANK3"
"PRTFDC1","PRTFDC1",-1.16195376779054,6.12920382606296,-5.57563952714936,9.10386403940042e-07,4.1710113743071e-06,5.08341317978742,"DOWN","PRTFDC1"
"BRINP3","BRINP3",0.286416311727522,3.10864237217344,5.57327579817299,9.1812733375344e-07,4.20555724035279e-06,5.07509614276482,"NO",NA
"CPEB4","CPEB4",0.81740107310403,8.06955873754349,5.57217095416833,9.21767884193328e-07,4.22130998473932e-06,5.07120892257163,"UP","CPEB4"
"ASL","ASL",0.732357843018282,9.42348410017967,5.57107771412472,9.25384268292916e-07,4.23694519517633e-06,5.06736271329807,"UP","ASL"
"HSPB11","HSPB11",-0.528754862578891,7.70548390888221,-5.57072476850584,9.26554792403413e-07,4.24137745552323e-06,5.06612102816669,"NO",NA
"LINC02888","LINC02888",-2.94378515801585,4.82912175448838,-5.57014838555435,9.28469486731208e-07,4.24921353256688e-06,5.0640933174032,"DOWN","LINC02888"
"TMEM70","TMEM70",-0.624307796669077,6.43345775742741,-5.5698344099854,9.29514134330673e-07,4.25306521883456e-06,5.06298877524485,"DOWN","TMEM70"
"LAS1L","LAS1L",-0.309241070404204,8.2471646420722,-5.56864073448366,9.33496320635406e-07,4.27035322741862e-06,5.0587896539235,"NO",NA
"AASS","AASS",1.01995756183565,5.35558871235115,5.56825787975564,9.34777125782353e-07,4.27527870169497e-06,5.05744289086311,"UP","AASS"
"ZCCHC17","ZCCHC17",-0.331204910771252,7.59187839542358,-5.56816289396631,9.35095161295689e-07,4.27579968209142e-06,5.05710876408692,"NO",NA
"LINC00927","LINC00927",0.305697462431051,4.27746125356379,5.56784415094935,9.36163173640444e-07,4.27974901751339e-06,5.05598754780845,"NO",NA
"ILDR2","ILDR2",1.03919620834202,6.04452139782443,5.56750190783508,9.3731127254004e-07,4.28406267202623e-06,5.0547836845608,"UP","ILDR2"
"PCDHA10","PCDHA10",0.40789948075619,5.55425409105553,5.56714123797726,9.38522695204462e-07,4.28866380812563e-06,5.05351502350908,"NO",NA
"RB1CC1","RB1CC1",-0.474772742283527,8.88362673884841,-5.56680390409228,9.3965713978063e-07,4.29291125561284e-06,5.05232846517945,"NO",NA
"WDR46","WDR46",-0.365187034081146,7.39282615745403,-5.56449399362958,9.47461871395159e-07,4.32762403404152e-06,5.04420391943481,"NO",NA
"KRTCAP2","KRTCAP2",-0.455883869714055,10.1740370257651,-5.56400755869516,9.49113602899724e-07,4.33422337910192e-06,5.04249310827626,"NO",NA
"SLC17A4","SLC17A4",-0.503797607156504,3.2365955195098,-5.56252369524631,9.5416982334749e-07,4.35636340227983e-06,5.03727452677089,"NO",NA
"DGKK","DGKK",0.288685760231374,4.88137925623701,5.56242650730489,9.54501917441715e-07,4.35692997704328e-06,5.03693273953889,"NO",NA
"SC5D","SC5D",0.816508702495927,9.29096320703916,5.5615465626289,9.5751392840716e-07,4.36880883969512e-06,5.03383824662894,"UP","SC5D"
"MPZL2","MPZL2",-1.08162243593697,5.18916609107241,-5.56154433598455,9.57521562034993e-07,4.36880883969512e-06,5.03383041636221,"DOWN","MPZL2"
"LRRTM2","LRRTM2",0.348081324538064,3.36945631353029,5.56148354538377,9.57729994361005e-07,4.36880883969512e-06,5.03361663908866,"NO",NA
"LINC00545","LINC00545",0.28921285503995,4.02098532395397,5.56085205003466,9.59897857273609e-07,4.37774448428267e-06,5.03139594548707,"NO",NA
"ACSM3","ACSM3",1.30082052516444,7.47959631861206,5.55995326774523,9.62991671666295e-07,4.39089824692945e-06,5.02823542678238,"UP","ACSM3"
"PBLD","PBLD",2.00527099294745,8.84309424534142,5.55929984092201,9.65247112619526e-07,4.40022443265314e-06,5.02593776567949,"UP","PBLD"
"MIR3180-3","MIR3180-3",0.283656643142563,5.20884690593171,5.55908536897984,9.65988547416308e-07,4.40264623645113e-06,5.02518362703908,"NO",NA
"DCBLD1","DCBLD1",-0.56079937315123,5.27544587615135,-5.55815460364957,9.69212765309774e-07,4.4163802033813e-06,5.0219108988075,"NO",NA
"UBE2V1","UBE2V1",-0.620007418025719,8.64409795422933,-5.55706371547912,9.7300522138727e-07,4.43269690569794e-06,5.01807532265681,"DOWN","UBE2V1"
"TMOD3","TMOD3",-0.999661411739245,5.04382707513858,-5.55581240437645,9.77373480726491e-07,4.45162911519413e-06,5.0136759250382,"DOWN","TMOD3"
"PLVAP","PLVAP",-1.45223016330733,9.23589358926415,-5.55557965920902,9.78188120524603e-07,4.45437099144106e-06,5.01285765933596,"DOWN","PLVAP"
"COMMD2","COMMD2",-0.713524938844469,6.17680561461154,-5.55391912029509,9.84019773695124e-07,4.47995266237595e-06,5.00701992203376,"DOWN","COMMD2"
"LCN10","LCN10",0.497973173700598,5.43353938352398,5.55371436373736,9.84741238767632e-07,4.48226308745449e-06,5.00630011616632,"NO",NA
"QTRT1","QTRT1",-0.485075028869703,7.23039059117217,-5.55239175361748,9.89414123649906e-07,4.50255434457845e-06,5.00165073972448,"NO",NA
"GS1-279B7.1","GS1-279B7.1",0.266499331746933,4.41838143779977,5.55131796394877,9.93224048125606e-07,4.51891054215618e-06,4.9978762432894,"NO",NA
"GTDC1","GTDC1",-0.409037942222605,7.31053731131791,-5.55089831732848,9.94716945004907e-07,4.52472005364121e-06,4.99640118514955,"NO",NA
